,Rk,Year,Player,Pos,AV,School,College,HE ,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
165,81,2012,Nathan Stupar,LB,9,Penn State,College Stats,2-Jun,6'2,241,4.65,31,21,116,6.84,4.28,Oakland Raiders / 7th / 230th pick / 2012
166,82,2012,Sean Spence,LB,13,Miami (FL),College Stats,11-May,5'11,231,4.66,33.5,12,119,7.46,4.28,Pittsburgh Steelers / 3rd / 86th pick / 2012
167,83,2012,Shea McClellin,LB,18,Boise State,College Stats,3-Jun,6'3,260,4.62,31.5,19,118,7.07,4.33,Chicago Bears / 1st / 19th pick / 2012
168,84,2012,Jonathan Massaquoi,LB,6,Troy,College Stats,2-Jun,6'2,264,4.81,33.5,20,120,7.38,4.53,Atlanta Falcons / 5th / 164th pick / 2012
169,85,2012,Brandon Marshall,LB,32,Nevada,College Stats,1-Jun,6'1,242,4.72,30.5,28,108,7.05,4.09,Jacksonville Jaguars / 5th / 142nd pick / 2012
170,86,2012,Terrell Manning,LB,0,North Carolina State,College Stats,2-Jun,6'2,237,4.71,32.5,22,114,7.18,4.43,Green Bay Packers / 5th / 163rd pick / 2012
171,87,2012,Travis Lewis,LB,4,Oklahoma,College Stats,1-Jun,6'1,246,4.83,36,22,122,,,Detroit Lions / 7th / 223rd pick / 2012
172,88,2012,Ronnell Lewis,LB,0,Oklahoma,College Stats,2-Jun,6'2,253,4.65,31,36,112,7.09,4.4,Detroit Lions / 4th / 125th pick / 2012
173,89,2012,Josh Kaddu,LB,0,Oregon,College Stats,3-Jun,6'3,239,4.67,34,20,119,,,Miami Dolphins / 5th / 155th pick / 2012
174,90,2012,Steven Johnson,LB,8,Kansas,College Stats,Jun-00,6'1,239,4.71,36,16,113,7.32,4.38,
175,91,2012,Bruce Irvin,LB,43,West Virginia,College Stats,3-Jun,6'3,245,4.41,33.5,23,123,6.7,4.03,Seattle Seahawks / 1st / 15th pick / 2012
176,92,2012,Melvin Ingram,LB,47,South Carolina,College Stats,1-Jun,6'1,264,4.69,34.5,28,109,6.83,4.18,San Diego Chargers / 1st / 18th pick / 2012
177,93,2012,Darius Fleming,LB,1,Notre Dame,College Stats,2-Jun,6'2,245,4.71,33.5,27,114,7.03,4.28,San Francisco 49ers / 5th / 165th pick / 2012
178,94,2012,Lavonte David,LB,65,Nebraska,College Stats,1-Jun,6'1,233,4.57,36.5,19,119,7.28,4.22,Tampa Bay Buccaneers / 2nd / 58th pick / 2012
179,95,2012,Demario Davis,LB,52,Arkansas State,College Stats,2-Jun,6'2,235,4.49,38.5,32,124,7.19,4.28,New York Jets / 3rd / 77th pick / 2012
180,96,2012,Miles Burris,LB,14,San Diego State,College Stats,2-Jun,6'2,246,4.67,37.5,31,121,,,Oakland Raiders / 4th / 129th pick / 2012
181,97,2012,Zach Brown,LB,42,North Carolina,College Stats,1-Jun,6'1,244,4.44,33.5,,116,,,Tennessee Titans / 2nd / 52nd pick / 2012
182,98,2012,Nigel Bradham,LB,43,Florida State,College Stats,2-Jun,6'2,241,4.56,37,24,121,7.18,4.37,Buffalo Bills / 4th / 105th pick / 2012
183,99,2012,Emmanuel Acho,LB,2,Texas,College Stats,2-Jun,6'2,238,4.64,35.5,24,118,,,Cleveland Browns / 6th / 204th pick / 2012
184,100,2012,Ryan Baker,LB,,LSU,College Stats,11-May,5'11,232,4.8,34,30,113,7.21,4.35,
185,Rk,Year,Player,Pos,AV,School,College,Height,#VALUE!,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
186,101,2012,Brandon Lindsey,LB,,Pittsburgh,College Stats,2-Jun,6'2,254,4.85,33,23,117,7.36,4.28,
187,102,2012,Tyler Nielsen,LB,,Iowa,College Stats,3-Jun,6'3,238,4.63,,21,,7.27,4.31,
188,103,2011,K.J. Wright,LB,64,Mississippi State,College Stats,3-Jun,6'3,246,4.71,32,20,120,7.26,4.46,Seattle Seahawks / 4th / 99th pick / 2011
189,104,2011,Lawrence Wilson,LB,,Connecticut,College Stats,1-Jun,6'1,229,4.71,32.5,24,113,7.31,4.5,Carolina Panthers / 6th / 166th pick / 2011
190,105,2011,J.T. Thomas,LB,13,West Virginia,College Stats,1-Jun,6'1,241,4.65,30.5,23,114,7.23,4.28,Chicago Bears / 6th / 195th pick / 2011
191,106,2011,D.J. Smith,LB,6,Appalachian State,,11-May,5'11,239,4.71,31,20,104,7.35,4.45,Green Bay Packers / 6th / 186th pick / 2011
192,107,2011,Brian Rolle,LB,6,Ohio State,College Stats,10-May,5'10,229,4.53,33,28,115,6.89,4.26,Philadelphia Eagles / 6th / 193rd pick / 2011
193,108,2011,Brooks Reed,LB,42,Arizona,College Stats,2-Jun,6'2,263,4.65,30.5,30,113,7.11,4.28,Houston Texans / 2nd / 42nd pick / 2011
194,109,2011,Jonas Mouton,LB,0,Michigan,College Stats,1-Jun,6'1,239,4.84,31.5,,115,7.08,4.34,San Diego Chargers / 2nd / 61st pick / 2011
195,110,2011,Adrian Moten,LB,1,Maryland,College Stats,2-Jun,6'2,228,4.53,31,18,114,7.05,4.21,
196,111,2011,Dontay Moch,LB,0,Nevada,College Stats,1-Jun,6'1,248,4.4,42,21,128,7.09,4.38,Cincinnati Bengals / 3rd / 66th pick / 2011
197,112,2011,Von Miller,LB,106,Texas A&M,College Stats,3-Jun,6'3,246,4.42,37,21,126,6.7,4.06,Denver Broncos / 1st / 2nd pick / 2011
198,113,2011,Bruce Miller,LB,7,Central Florida,College Stats,1-Jun,6'1,254,4.81,31,35,113,7.05,4.34,San Francisco 49ers / 7th / 211th pick / 2011
199,114,2011,Scott Lutrus,LB,0,Connecticut,College Stats,2-Jun,6'2,241,4.68,38,,121,6.89,4.09,
200,115,2011,Jeremiha Hunter,LB,,Iowa,College Stats,Jun-00,6'1,239,4.77,31.5,20,116,,,
201,116,2011,Justin Houston,LB,66,Georgia,College Stats,3-Jun,6'3,270,4.62,36.5,30,125,6.95,4.37,Kansas City Chiefs / 3rd / 70th pick / 2011
202,117,2011,Ross Homan,LB,,Ohio State,College Stats,1-Jun,6'1,240,4.66,35.5,32,111,7.21,4.34,Minnesota Vikings / 6th / 200th pick / 2011
203,118,2011,Doug Hogue,LB,2,Syracuse,College Stats,2-Jun,6'2,235,4.62,36,18,121,7.09,4.57,Detroit Lions / 5th / 157th pick / 2011
204,119,2011,Mark Herzlich,LB,13,Boston College,College Stats,4-Jun,6'4,244,4.91,32.5,29,112,7.32,4.46,
205,120,2011,Mason Foster,LB,45,Washington,College Stats,1-Jun,6'1,245,4.75,31,22,110,7.14,4.45,Tampa Bay Buccaneers / 3rd / 84th pick / 2011
206,121,2011,Chris Carter,LB,7,Fresno State,College Stats,1-Jun,6'1,248,4.58,36,27,114,6.88,4.34,Pittsburgh Steelers / 5th / 162nd pick / 2011
207,122,2011,Bruce Carter,LB,21,North Carolina,College Stats,1-Jun,6'1,241,4.57,,25,,,,Dallas Cowboys / 2nd / 40th pick / 2011
208,123,2011,Akeem Ayers,LB,32,UCLA,College Stats,2-Jun,6'2,254,4.81,31,18,116,7.49,4.28,Tennessee Titans / 2nd / 39th pick / 2011
209,124,2011,Sam Acho,LB,33,Texas,College Stats,2-Jun,6'2,262,4.67,33.5,23,112,6.69,4.32,Arizona Cardinals / 4th / 103rd pick / 2011
210,125,2011,Wayne Daniels,LB,,TCU,College Stats,Jun-00,6'1,260,5.03,25,,106,7.81,4.68,
211,126,2010,Jason Worilds,LB,23,Virginia Tech,College Stats,1-Jun,6'1,254,4.65,38,24,114,6.95,4.29,Pittsburgh Steelers / 2nd / 52nd pick / 2010
212,127,2010,Sean Weatherspoon,LB,24,Missouri,College Stats,1-Jun,6'1,239,4.62,40,34,123,6.99,4.38,Atlanta Falcons / 1st / 19th pick / 2010
213,128,2010,Dekoda Watson,LB,12,Florida State,College Stats,1-Jun,6'1,240,4.55,40,24,134,7.06,4.11,Tampa Bay Buccaneers / 7th / 217th pick / 2010
214,129,2010,Daryl Washington,LB,38,TCU,College Stats,2-Jun,6'2,230,4.58,31,17,114,,,Arizona Cardinals / 2nd / 47th pick / 2010
215,130,2010,Nate Triplett,LB,0,Minnesota,College Stats,3-Jun,6'3,250,4.7,33,20,115,7.02,4.37,Minnesota Vikings / 5th / 167th pick / 2010
216,131,2010,Adrian Tracy,LB,1,William & Mary,,3-Jun,6'3,248,4.76,35.5,20,110,7.08,4.34,New York Giants / 6th / 184th pick / 2010
217,132,2010,Stevenson Sylvester,LB,5,Utah,College Stats,2-Jun,6'2,231,4.71,,23,,,,Pittsburgh Steelers / 5th / 166th pick / 2010
218,133,2010,Cameron Sheffield,LB,1,Troy,College Stats,2-Jun,6'2,257,4.92,33,,115,7.23,4.53,Kansas City Chiefs / 5th / 142nd pick / 2010
219,134,2010,O'Brien Schofield,LB,18,Wisconsin,College Stats,2-Jun,6'2,221,4.63,,,,,,Arizona Cardinals / 4th / 130th pick / 2010
220,135,2010,Ricky Sapp,LB,1,Clemson,College Stats,4-Jun,6'4,252,4.65,34,23,114,7.29,4.41,Philadelphia Eagles / 5th / 134th pick / 2010
221,136,2010,Perry Riley,LB,34,LSU,College Stats,1-Jun,6'1,239,4.69,35.5,,119,6.97,4.25,Washington Redskins / 4th / 103rd pick / 2010
222,137,2010,Eric Norwood,LB,2,South Carolina,College Stats,1-Jun,6'1,245,4.71,36.5,,115,7.08,4.23,Carolina Panthers / 4th / 124th pick / 2010
223,138,2010,Roddrick Muckelroy,LB,2,Texas,College Stats,2-Jun,6'2,246,4.68,31,19,110,7.25,4.39,Cincinnati Bengals / 4th / 131st pick / 2010
224,139,2010,Arthur Moats,LB,24,James Madison,,Jun-00,6'1,246,4.64,36.5,24,122,7.22,4.37,Buffalo Bills / 6th / 178th pick / 2010
225,140,2010,Koa Misi,LB,36,Utah,College Stats,3-Jun,6'3,251,4.75,38,,127,7.07,4.27,Miami Dolphins / 2nd / 40th pick / 2010
226,141,2010,Keaton Kristick,LB,0,Oregon State,College Stats,3-Jun,6'3,234,4.7,34,16,120,6.96,4.21,
227,142,2010,Sergio Kindle,LB,0,Texas,College Stats,3-Jun,6'3,250,4.65,36.5,25,118,7.26,4.53,Baltimore Ravens / 2nd / 43rd pick / 2010
228,143,2010,Carl Ihenacho,LB,0,San Jose State,College Stats,2-Jun,6'2,255,4.86,,20,,,,
229,144,2010,Jerry Hughes,LB,49,TCU,College Stats,2-Jun,6'2,255,4.65,34.5,26,118,6.99,4.15,Indianapolis Colts / 1st / 31st pick / 2010
230,145,2010,Brandon Graham,LB,45,Michigan,College Stats,1-Jun,6'1,268,4.71,,31,,,,Philadelphia Eagles / 1st / 13th pick / 2010
231,146,2010,Thaddeus Gibson,LB,0,Ohio State,College Stats,2-Jun,6'2,243,4.78,32,32,115,6.84,4.27,Pittsburgh Steelers / 4th / 116th pick / 2010
232,147,2010,Junior Galette,LB,21,Stillman,College Stats,2-Jun,6'2,257,4.77,33.5,25,113,7.04,4.16,
233,148,2010,A.J. Edds,LB,0,Iowa,College Stats,4-Jun,6'4,246,4.62,33,16,117,7.19,4.28,Miami Dolphins / 4th / 119th pick / 2010
234,149,2010,Dexter Davis,LB,1,Arizona State,College Stats,1-Jun,6'1,244,4.62,35,25,109,7.08,4.3,Seattle Seahawks / 7th / 236th pick / 2010
235,150,2010,Rennie Curran,LB,1,Georgia,College Stats,11-May,5'11,235,4.75,34.5,25,,,,Tennessee Titans / 3rd / 97th pick / 2010
236,Rk,Year,Player,Pos,AV,School,College,Height,#VALUE!,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
237,151,2010,Kavell Conner,LB,22,Clemson,College Stats,Jun-00,6'1,242,4.59,33.5,24,110,7.36,4.6,Indianapolis Colts / 7th / 240th pick / 2010
238,152,2010,Justin Cole,LB,1,San Jose State,College Stats,3-Jun,6'3,242,4.76,34.5,22,117,7.13,4.42,
239,153,2010,Antonio Coleman,LB,0,Auburn,College Stats,1-Jun,6'1,255,4.76,,18,113,,,
240,154,2010,Keenan Clayton,LB,3,Oklahoma,College Stats,1-Jun,6'1,229,4.59,41.5,27,124,,,Philadelphia Eagles / 4th / 121st pick / 2010
241,155,2010,Navorro Bowman,LB,75,Penn State,College Stats,Jun-00,6'1,242,4.7,29.5,26,115,6.91,4.59,San Francisco 49ers / 3rd / 91st pick / 2010
242,156,2010,Kyle Bosworth,LB,5,UCLA,College Stats,1-Jun,6'1,236,4.69,32.5,25,117,6.67,4.11,
243,157,2010,Simoni Lawrence,LB,,Minnesota,College Stats,Jun-00,6'1,232,4.59,40,21,123,7.3,4.43,
244,158,2010,Sam Maxwell,LB,,Kentucky,College Stats,2-Jun,6'2,246,4.98,33,,108,7.37,4.52,
